# T2.2 — verifikasi relevansi. Isi HANYA kolom penilaian_manusia.
# Nilai yang sah: hipoglikemia | hiperglikemia | normal | lain
# Pertanyaannya: APA TOPIK UTAMA yang dibahas potongan ini?
# BUKAN: apakah potongan ini berguna bagi pasien pada kueri tersebut.
"# 'lain' dipakai bila potongan tidak membahas ketiga kondisi itu (mis. definisi diabetes, alat suntik, gizi umum)."
# Label otomatis SENGAJA tidak ditampilkan; ada di berkas KUNCI.

id,penilaian_manusia,kueri,sumber,halaman_cetak,peringkat,teks_potongan
1,,Bagaimana tatalaksana pasien diabetes dengan hipoglikemia pada kadar glukosa 58 mg/dL?,KB-04_PERKENI-2023_Tatalaksana-Hiperglikemia-RS.pdf,78,2,"166 ±32 mg/dl, P <0.001), serta kadar GD pada akhir perawatan (187 vs. 140 mg/dl, P< 0.001). Secara keseluruhan, GD pasien RI memiliki perbedaan 27 mg/dl (p<0.01) pada dua kelompok dengan rerata perbedaan GD pada rentang 23-58 mg/dL. Pasien yang menerima basal-bolus memiliki kadar GD lebih rendah dan stabil dibanding SSI yang cenderung fluktuatif dan tidak signifikan menurunkan GD. Sasaran GD <140 mg.dL dicapai oleh 66% pasien dengan basal-bolus dan hanya 38% oleh kelompok SSI."
2,,"Kadar glukosa darah 64 mg/dL. Hipoglikemia, gula darah rendah di bawah 70 mg/dL. Penyebab, gejala, dan penanganan segera (aturan 15-15).",KB-03_PERKENI-2021_Terapi-Insulin.pdf,11,4,"b. Dekompensasi metabolik, yang ditandai antara lain dengan: gejala klasik diabetes (polidipsia, poliuria, polifagia) dan penurunan berat badan disertai glukosa darah puasa (GDP) ш 250 mg/dL atau glukosa darah sewaktu (GDS)> 300 mg/dL atau HbA1c > 9%, dan/atau sudah mendapatkan terapi OHO.63 c. Terapi steroid dosis tinggi yang menyebabkan glukosa darah tidak terkendali.64 d. Perencanaan operasi yang kadar glukosa darahnya perlu segera diturunkan (lihat Bab VI."
3,,"Kadar glukosa darah 216 mg/dL. Hiperglikemia, gula darah tinggi.",KB-01_IDAI-2015_Konsensus-DMT1.pdf,52,5,"Dosis basal ini dapat dihentikan (maksimal 30 menit) untuk koreksi bila ada episode hipoglikemia ringan.• Jangan berikan dosis bolus insulin kerja cepat, kecuali untuk koreksi hiperglikemia.• Berikan cairan infus. Bila kadar glukosa darah normal dapat diberikan infus tanpa dekstrosa.• Atau, insulin iv drip boleh diberikan dengan cara seperti Tabel 10.Selama tindakan bila kadar gula darah naik >250 mg/dL (14 mmol/L) cek keton darah atau urin."
4,,Kadar glukosa darah 70 mg/dL.,KB-01_IDAI-2015_Konsensus-DMT1.pdf,44,3,"lebih sering, demikian pula keton darah atau urin.• Usahakan kadar glukosa darah antara 70-180 mg/dL (4-10 mmol/L) dan keton darah <0,6 mmol/L bila anak sakit."
5,,"Kadar glukosa darah 44 mg/dL. Hipoglikemia, gula darah rendah di bawah 70 mg/dL. Penyebab, gejala, dan penanganan segera (aturan 15-15).",KB-01_IDAI-2015_Konsensus-DMT1.pdf,74,5,"Hipoglikemia nokturnal sering asimptomatik dan berlangsung lama. Keadaan ini perlu diwaspadai bila kadar glukosa darah pagi sebelum sarapan rendah atau terdapat gejala sulit berpikir, bingung, sakit kepala, gangguan mood saat bangun di pagi hari. Untuk mencegah hipoglikemia pada malam hari maka kadar glukosa sebelum tidur diusahakan sekitar 120-180 mg/dL (7-10 mmol/L)."
6,,"Kadar glukosa darah 70 mg/dL. Hipoglikemia, gula darah rendah.",KB-03_PERKENI-2021_Terapi-Insulin.pdf,48,5,"Edukasi ini meliputi konsep tentang glukosa darah puasa dan prandial, fungsi insulin basal dan insulin prandial, serta pemantauan glukosa darah mandiri. Tabel VIII.1 Klasifikasi Hipoglikemia Level Glukosa Darah Nilai peringatan hipoglikemia (Level 1) ≤ 70 mg/dL Hipoglikemia signifikan secara klinis (Level 2) < 54 mg/dL Hipoglikemia berat (Level 3) Tanpa nilai ambang glukosa spesifik.
Hipoglikemia berat dengan ganggan status
mental dan/atau fisik yang membutuhkan
bantuan orang lain."
7,,Kadar glukosa darah 50 mg/dL.,KB-03_PERKENI-2021_Terapi-Insulin.pdf,44,3,"Kecepatan infus insulin harus selalu disesuaikan. Bila terdapat faktor lain yang menyebabkan penurunan kadar glukosa darah kurang dari 60 mg/dL/jam, misalnya rehidrasi yang kurang adekuat dan asidosis yang memburuk, maka kecepatan infus insulin perlu ditingkatkan. Bila kadar glukosa darah sudah turun < 250 mg/dL, dosis insulin infus harus dikurangi menjadi 50% dari dosis sebelumnya. Infus insulin terus dilanjutkan sampai ketosis teratasi dan pasien sudah bisa makan/minum. B.1."
8,,"Kadar glukosa darah 55 mg/dL. Hipoglikemia, gula darah rendah di bawah 70 mg/dL. Penyebab, gejala, dan penanganan segera (aturan 15-15).",KB-02_PERKENI-2021_Pemantauan-Glukosa-Mandiri.pdf,25,1,Akurasi hasil pemeriksaan merupakan hal yang sangat penting karena akan memengaruhi keputusan klinis.55 Salah satu Standar minimum alat glukometer adalah ISO 15197:2013 yang berarti 95% dari pemeriksaan yang dilakukan bila dibandingkan pemeriksaan laboratorium harus berada pada kisaran:55 x ±15 mg/dL jika kadar glukosa darah < 100 mg/dL x ±15% jika kadar glukosa darah ш 100 mg/dL
9,,Gula darah dalam rentang normal/target. Target kontrol glikemik dan pemantauan rutin diabetes.,KB-01_IDAI-2015_Konsensus-DMT1.pdf,40,4,T ujuan pemantauan glikemik adalah:• Untuk menilai ketepatan derajat kontrol glikemik masing-masing individu sehingga individu dapat mencapai target yang paling realistis.• Untuk mencegah komplikasi akut berupa hipoglikemia dan komplikasi jangka panjang yaitu komplikasi mikrovaskuler dan makrovaskuler.• Untuk meminimalkan pengaruh hipoglikemia dan hiperglikemia terhadap fungsi kognitif.• Untuk mengumpulkan data kontrol glikemik dari masing-masing pusat diabetes sehingga standar penanganan
10,,"Hiperglikemia, gula darah tinggi di atas 180 mg/dL. Penyebab, gejala, dan penanganan.",KB-04_PERKENI-2023_Tatalaksana-Hiperglikemia-RS.pdf,53,5,"(1) koreksi hiperglikemia, (2) identifikasi dan penanganan faktor presipitasi, (3) koreksi dehidrasi, (4) koreksi asam-basa, dan elektrolit, serta (5) pemantauan rutin untuk mencegah komplikasi.1 Berbeda dengan prinsip manajemen hiperglikemia pada penyakit kritis yang bertujuan menurunkan GD ke rentang sasaran (140-180 mg/dL), KAD/SHH bertujuan mengembalikan fungsi fisiologis tubuh secara gradual dan aman serta mengatasi penyebab yang mendasarinya dengan cara memperbaiki gangguan asam basa dan"
