# T2.2 PUTARAN 2 - verifikasi relevansi. Isi HANYA kolom penilaian_manusia.,,
# Nilai yang sah: hipoglikemia | hiperglikemia | normal | lain,,
# Pertanyaannya: APA TOPIK UTAMA yang dibahas potongan teks ini?,,
# BUKAN: apakah potongan ini berguna bagi pasien tertentu.,,
# KEEMPAT kategori WAJIB dipertimbangkan pada tiap baris.,,
"# 'normal' = potongan membahas KELAS TARGET atau RENTANG AMAN, misalnya sasaran",,
"#            kontrol glikemik, target GDP, target HbA1c, atau pemantauan rutin.",,
"# 'lain'   = potongan tidak membahas ketiga kondisi itu, misalnya definisi diabetes,",,
"#            alat suntik, rumus laboratorium, atau gizi umum.",,
# Baca panduan lengkap: docs/PANDUAN_PENILAI_v2.md,,
# Jangan membahas isi lembar ini dengan penilai lain sampai keduanya selesai.,,
,,
id,penilaian_manusia,teks_potongan
1,Hiperglikemi,"18% pasien berusia <20 tahun. Dua pertiga pasien KAD memiliki diabetes melitus tipe (DM1) dan sepertiganya memiliki diabetes melitus tipe 2 (DM2), dengan perbandingan yang sama antara laki-laki dan perempuan. KAD menjadi penyebab kematian tersering pada anak dan remaja dengan DM1. Pada pasien dewasa, mortalitas hanya terjadi <1%, tetapi meningkat hingga >5% pada lansia dan pasien dengan penyakit kritis. Kematian pada kondisi ini jarang disebabkan karena komplikasi metabolik berupa hiperglikemia atau ketoasidosis, namun karena penyakit pencetus yang mendasarinya. Mortalitas yang dikaitkan dengan SHH jauh lebih tinggi daripada yang dikaitkan dengan KAD, dengan data terbaru sebesar 5-20%. Prognosis dari kedua kondisi tersebut secara substansial diperburuk pada lansia dengan adanya koma, hipotensi, dan komorbiditas berat.1 Ketoasidosis diabetik terjadi karena defisiensi insulin dengan"
2,lainnya,"yang dapat memengaruhi akurasi hasil pemeriksaan, antara lain: proses produksi glukometer, faktor lingkungan (seperti kelembaban, suhu lingkungan yang terlalu dingin atau panas), dan kesalahan cara penggunaan. Akurasi hasil pemeriksaan merupakan hal yang sangat penting karena akan memengaruhi keputusan klinis.55 Salah satu Standar minimum alat glukometer adalah ISO 15197:2013 yang berarti 95% dari pemeriksaan yang dilakukan bila dibandingkan pemeriksaan laboratorium harus berada pada kisaran:55 x ±15 mg/dL jika kadar glukosa darah < 100 mg/dL x ±15% jika kadar glukosa darah ш 100 mg/dL"
3,lainnya,"Perkumpulan Endokrinologi Indonesia
31 Pedoman Pemantauan Glukosa Darah Mandiri - 2021 13. Penutup PGDM merupakan salah satu metode pemantauan glukosa darah yang sangat baik untuk mencapai target glukosa darah sehingga komplikasi akut dan kronik pada penyandang diabetes dapat dihindari, kualitas hidup penyandang diabetes meningkat, dan beban pemerintah menjadi lebih ringan."
4,hipoglikemi,"hipoglikemia pada anak dengan diabetes. Kadar ini juga direkomendasikan sebagai target glukosa darah terendah dalam terapi anak dengan diabetes agar hipoglikemia dapat dihindari.Gejala dan tandaManifestasi klinis hipoglikemia terjadi akibat aktivasi otonom (gejala adrenergik) dan/atau disfungsi neurologis, karena turunnya kadar glukosa di otak (gejala neuroglikopenia) seperti terlihat di Tabel 11. Bila gula darah turun gejala yang mulai timbul adalah gemetar, lemah, lapar, dan berkeringat sebagai akibat aktivasi sistem saraf otonom. Gejala ini timbul pada kadar gula darah 58-65 mg/dL (3,2-3,6 mmol/L) pada anak tanpa diabetes. Gejala lain yang mungkin timbul adalah perubahan perilaku seperti tantrum, gelisah, keras kepala, diam, atau agitasi. Perubahan perilaku ini lebih banyak dijumpai pada anak usia prasekolah, dan mungkin disebabkan oleh kombinasi respons otonom dan neuroglikopenia."
5,lainnya,/ dL) / 18. Pedoman Inggris menghitung osmolalitas menggunakan persamaan 2 × Na + glukosa (mmol / L) + (nitrogen urea darah (mmol / L) atau 2 × Na + glukosa (mg / dL) / 18 + nitrogen urea darah (mg / dL)) /2.8. .
6,hiperglikemi,"36 d. Prosedur/Operasi emergensi Pada prosedur emergensi, kendali glikemik pasien dibagi menjadi dua kelompok, yaitu baik dan buruk. Pasien dengan kendali glikemik baik rejimen antidiabetes yang sudah didapat (oral atau injeksi) dengan mengikuti regulasi H-1 dan H-0 (Tabel 1) dan GD dipantau setiap 4-6 jam. Pada pasien yang baru diketahui menderita DM (NDM, newly diabetes mellitus), GD dipantau setiap 4-6 jam dan dapat diberikan insulin dosis koreksional jika dibutuhkan. Sedangkan pada pasien dengan kendali glikemik buruk, diberikan insulin IV sesuai protokol dengan pemantauan GD setiap 1-4 jam. Dosis koreksional dapat digunakan pada hiperglikemia dengan kadar GD yang tidak terlalu tinggi selama dipuasakan (GD 180-250 mg/dL).1,4 e. Dosis koreksional insulin Metode dosis koreksi murni (SSI, sliding scale insulin) digunakan pada hiperglikemia dengan kadar yang tidak terlalu tinggi saat"
7,hiperglikemi,"olahraga spesifik.• Jika glukosa darah tinggi, glukosa darah > 250 mg/dL (14 mmol/L) dengan ketonuria /ketonemia (> 0,5 mmol/L)o Olahraga atau latihan fisik harus dihindari"
8,hiperglikemi,"glukosa darah post-prandial (GDPP) juga berhubungan secara langsung dengan peningkatan risiko komplikasi.7-9 Beberapa penelitian menunjukkan bahwa kadar glukosa darah post-prandial merupakan 1anjan risiko yang kuat terjadinya komplikasi kardiovaskular.10-2 Dalam 1anjang klinik sehari-hari, pemeriksaan kadar glukosa darah (GDP, GDPP, dan sewaktu) dan HbA1c lazim dilakukan untuk menilai kendali glikemik penyandang diabetes. Umumnya pemeriksaan dilakukan di laboratorium biasanya pagi hari, pada rentang waktu tertentu atau pada saat"
9,hiperglikemi,"Hiperglikemia adalah kondisi di mana kadar gula darah melebihi 180 mg/dL.
                
                Penyebab utama:
                - Asupan karbohidrat berlebihan
                - Dosis insulin tidak mencukupi
                - Tingkat stress yang tinggi
                - Kurangnya aktivitas fisik
                - Infeksi atau sakit
                
                Gejala:
                - Sering buang air kecil
                - Rasa haus berlebihan
                - Pandangan kabur
                - Kelelahan
                - Sakit kepala
                
                Penanganan:
                1. Perbanyak minum air putih (minimal 2-3 gelas)
                2. Lakukan aktivitas fisik ringan 15-30 menit
                3. Hindari makanan tinggi gula
                4. Periksa keton jika glukosa >250 mg/dL"
10,hiperglikemi,"3. Hindari makanan tinggi gula
                4. Periksa keton jika glukosa >250 mg/dL
                5. Konsultasi dokter jika bertahan >2 jam atau >300 mg/dL
                
                Referensi: PERKENI 2021, ADA Standards of Care 2023"
